Model: LeNet
Num epochs: 500
Num local epochs: 10
Num of clients: 100
The fraction of clients: C: 0.1
All clients:  False
Round 372, Average loss 0.040
Round 373, Average loss 0.037
Round 374, Average loss 0.045
Round 375, Average loss 0.037
Round 376, Average loss 0.038
Round 377, Average loss 0.027
Round 378, Average loss 0.043
Round 379, Average loss 0.032
Round 380, Average loss 0.032
Round 381, Average loss 0.038
Round 382, Average loss 0.034
Round 383, Average loss 0.031
Round 384, Average loss 0.036
Round 385, Average loss 0.036
Round 386, Average loss 0.028
Round 387, Average loss 0.030
Round 388, Average loss 0.031
Round 389, Average loss 0.032
Round 390, Average loss 0.028
Round 391, Average loss 0.037
Round 392, Average loss 0.026
Round 393, Average loss 0.036
Round 394, Average loss 0.024
Round 395, Average loss 0.025
Round 396, Average loss 0.039
Round 397, Average loss 0.024
Round 398, Average loss 0.029
Round 399, Average loss 0.030
Round 400, Average loss 0.033
Round 401, Average loss 0.026
Round 402, Average loss 0.026
Round 403, Average loss 0.027
Round 404, Average loss 0.035
Round 405, Average loss 0.025
Round 406, Average loss 0.024
Round 407, Average loss 0.030
Round 408, Average loss 0.022
Round 409, Average loss 0.024
Round 410, Average loss 0.037
Round 411, Average loss 0.030
Round 412, Average loss 0.027
Round 413, Average loss 0.038
Round 414, Average loss 0.034
Round 415, Average loss 0.025
Round 416, Average loss 0.029
Round 417, Average loss 0.026
Round 418, Average loss 0.035
Round 419, Average loss 0.037
Round 420, Average loss 0.041
Round 421, Average loss 0.028
Round 422, Average loss 0.026
Round 423, Average loss 0.028
Round 424, Average loss 0.026
Round 425, Average loss 0.021
Round 426, Average loss 0.031
Round 427, Average loss 0.028
Round 428, Average loss 0.023
Round 429, Average loss 0.025
Round 430, Average loss 0.032
Round 431, Average loss 0.031
Round 432, Average loss 0.027
Round 433, Average loss 0.022
Round 434, Average loss 0.025
Round 435, Average loss 0.028
Round 436, Average loss 0.030
Round 437, Average loss 0.025
Round 438, Average loss 0.025
Round 439, Average loss 0.031
Round 440, Average loss 0.024
Round 441, Average loss 0.022
Round 442, Average loss 0.026
Round 443, Average loss 0.025
Round 444, Average loss 0.024
Round 445, Average loss 0.030
Round 446, Average loss 0.024
Round 447, Average loss 0.030
Round 448, Average loss 0.026
Round 449, Average loss 0.025
Round 450, Average loss 0.029
Round 451, Average loss 0.036
Round 452, Average loss 0.024
Round 453, Average loss 0.031
Round 454, Average loss 0.022
Round 455, Average loss 0.031
Round 456, Average loss 0.025
Round 457, Average loss 0.026
Round 458, Average loss 0.019
Round 459, Average loss 0.024
Round 460, Average loss 0.023
Round 461, Average loss 0.027
Round 462, Average loss 0.025
Round 463, Average loss 0.019
Round 464, Average loss 0.023
Round 465, Average loss 0.019
Round 466, Average loss 0.027
Round 467, Average loss 0.020
Round 468, Average loss 0.020
Round 469, Average loss 0.021
Round 470, Average loss 0.020
Round 471, Average loss 0.025
Round 472, Average loss 0.024
Round 473, Average loss 0.018
Round 474, Average loss 0.032
Round 475, Average loss 0.024
Round 476, Average loss 0.026
Round 477, Average loss 0.028
Round 478, Average loss 0.018
Round 479, Average loss 0.022
Round 480, Average loss 0.031
Round 481, Average loss 0.020
Round 482, Average loss 0.020
Round 483, Average loss 0.029
Round 484, Average loss 0.024
Round 485, Average loss 0.018
Round 486, Average loss 0.021
Round 487, Average loss 0.021
Round 488, Average loss 0.019
Round 489, Average loss 0.021
Round 490, Average loss 0.020
Round 491, Average loss 0.031
Round 492, Average loss 0.025
Round 493, Average loss 0.021
Round 494, Average loss 0.019
Round 495, Average loss 0.016
Round 496, Average loss 0.018
Round 497, Average loss 0.017
Round 498, Average loss 0.024
Round 499, Average loss 0.022
Training accuracy: 98.72
Testing accuracy: 84.90
--- 5265.206419944763 seconds ---
